Company,Job Title,Location,Post Date,Workplace Type,Job Type,Position Type,Post Date Cleaned
"Varsity Tutors, a Nerdy Company",Remote Business Statistics Tutor,"Montreal, QC",Reposted 5 days ago,Remote,Full-time,Entry Level,2024-11-04 14:19:19.110896
Outlier,Work from Home - AI Math Analyst,"Richmond Hill, ON",3 days ago,Remote,Full-time,,2024-11-06 14:19:19.110900
Outlier,Work from Home - AI Math Analyst,"Cambridge, ON",3 days ago,Remote,Full-time,Mid-Senior Level,2024-11-06 14:19:19.110903
Agoda,"Data Analyst (Bangkok Based, relocation provided)","Toronto, ON",Reposted 6 days ago,,Full-time,Associate,2024-11-03 14:19:19.110906
TELUS Digital AI Data Solutions,Online Data Analyst,"Ottawa, ON",2 weeks ago,Remote,Part-time,Entry Level,2024-10-26 14:19:19.110910
Tribute Technology,Data Analyst II,"Kingston, ON",1 month ago,Remote,Full-time,Mid-Senior Level,2024-10-10 14:19:19.110913
Applicantz,Data Analyst,"Montreal, QC",2 weeks ago,Hybrid,,,2024-10-26 14:19:19.110917
Mutual of Omaha Mortgage,Insights Analyst,NAMER,5 days ago,Remote,Full-time,Mid-Senior Level,2024-11-04 14:19:19.110921
Walmart Canada,(CAN) Senior Data Analyst - Marketplace,"Mississauga, ON",Reposted 2 weeks ago,On-site,Full-time,Mid-Senior Level,2024-10-26 14:19:19.110925
IQVIA,"Consultant associé, Services de conseil et d’analyse / Associate Consultant, Consulting & Analytics Services","Mississauga, ON",Reposted 5 days ago,On-site,Full-time,Mid-Senior Level,2024-11-04 14:19:19.110929
Super.com,Customer Communication and Insights Analyst ( Remote! ),"Toronto, ON",1 week ago,Remote,Full-time,,2024-11-02 14:19:19.110933
Constructor,Data Analyst: Prospect Solutions (Remote),"Montreal, QC",4 months ago,Remote,Full-time,,2024-07-12 14:19:19.110938
Campus4Tech,"As A Retail Store Manager, Are You Considering Pivoting Your Career To Data Analyst",Canada,6 days ago,Remote,Full-time,Mid-Senior Level,2024-11-03 14:19:19.110941
Aston Carter,Franchise Data Analyst,"Toronto, ON",3 hours ago,Hybrid,,Entry Level,2024-11-09 11:19:19.110945
Compunnel Inc.,Data Analyst IV,"Toronto, ON",2 weeks ago,On-site,Full-time,Mid-Senior Level,2024-10-26 14:19:19.110948
TD,Senior Quantitative Analytics Analyst,"Toronto, ON",1 week ago,Hybrid,Full-time,Mid-Senior Level,2024-11-02 14:19:19.110952
Tim Hortons,"Sr. Analyst, Digital Analytics, Tim Hortons, Canada","Toronto, ON",4 days ago,On-site,Full-time,,2024-11-05 14:19:19.110957
Trellis Society,Data Analyst,"Calgary, AB",2 weeks ago,On-site,Full-time,Entry Level,2024-10-26 14:19:19.110960
theScore,"Data Analyst, Marketing","Toronto, ON",3 weeks ago,Hybrid,Full-time,Mid-Senior Level,2024-10-19 14:19:19.110965
Sobeys,Retail Insights Data Specialist,"Stellarton, NS",1 week ago,Hybrid,Full-time,Mid-Senior Level,2024-11-02 14:19:19.110969
Sanofi,Statistician,"Toronto, ON",Reposted 1 week ago,,Full-time,Mid-Senior Level,2024-11-02 14:19:19.110972
Campus4Tech,Are You A Risk Manager Looking To Transition Your Career To Become Data Analyst,Canada,3 days ago,Remote,Full-time,Mid-Senior Level,2024-11-06 14:19:19.110976
Photon,Data Analyst,"Toronto, ON",19 hours ago,On-site,Full-time,Entry Level,2024-11-08 19:19:19.110979
The University of British Columbia,Business Intelligence Specialist,Greater Vancouver Metropolitan Area,9 hours ago,On-site,Full-time,Entry Level,2024-11-09 05:19:19.110983
Altea Healthcare,SQL Data Analyst,"Burnaby, BC",6 days ago,On-site,Full-time,,2024-11-03 14:19:19.110987
Conestoga College,Senior Business Data Analyst,"Kitchener, ON",1 week ago,Hybrid,Full-time,Mid-Senior Level,2024-11-02 14:19:19.110990
Lumerate,Senior Data Analyst,"Toronto, ON",5 days ago,Hybrid,Full-time,Mid-Senior Level,2024-11-04 14:19:19.110993
CBC/Radio-Canada,"Senior Business Analyst, Data Analytics (T & I) (Telework/Hybrid)","Montreal, QC",1 day ago,Hybrid,Full-time,Mid-Senior Level,2024-11-08 14:19:19.110997
JTI,"Analyste - Solutions d'affaires, Service des Technologies numériques et de l'information","Mississauga, ON",Reposted 5 days ago,On-site,Full-time,Associate,2024-11-04 14:19:19.111000
Meltwater,"Analyst, GTM Planning & Analytics","Toronto, ON",Reposted 6 days ago,Hybrid,Full-time,Entry Level,2024-11-03 14:19:19.111004
Outlier,Work from Home - AI Math Analyst,"Niagara Falls, ON",3 days ago,Remote,Full-time,Mid-Senior Level,2024-11-06 14:19:19.111007
Independent Mechanical Supply,Data Analyst,"Mississauga, ON",6 days ago,On-site,Full-time,,2024-11-03 14:19:19.111011
CIBC,"Senior Analyst, Risk Analytics and Portfolio Management","Toronto, ON",1 week ago,,Full-time,Mid-Senior Level,2024-11-02 14:19:19.111014
Luxoft,Senior Data Analyst,"Toronto, ON",3 weeks ago,On-site,Full-time,Mid-Senior Level,2024-10-19 14:19:19.111017
Digital Research Alliance of Canada | Alliance de recherche numérique du Canada ,Cybersecurity Data Analyst,Canada,4 days ago,Remote,Full-time,Mid-Senior Level,2024-11-05 14:19:19.111021
ClifyX,"BI - SSIS, SSRS","Toronto, ON",3 months ago,On-site,Full-time,Mid-Senior Level,2024-08-11 14:19:19.111024
Tata Consultancy Services,Data Analyst - GCP,"Mississauga, ON",2 weeks ago,On-site,Full-time,,2024-10-26 14:19:19.111028
Merkle,"Lead Analyst, Analytics",Canada,Reposted 2 weeks ago,Remote,Full-time,Mid-Senior Level,2024-10-26 14:19:19.111031
TekRek,Senior Data Analyst,"Toronto, ON",3 weeks ago,Remote,,Mid-Senior Level,2024-10-19 14:19:19.111035
Outlier,AI Math Analyst,"Whitby, ON",4 days ago,Remote,Full-time,,2024-11-05 14:19:19.111039
Outlier,AI Math Analyst,"Newmarket, ON",3 days ago,Remote,Full-time,Mid-Senior Level,2024-11-06 14:19:19.111042
The Whitestone Group,Business Intelligence Specialist,"Toronto, ON",1 day ago,On-site,,,2024-11-08 14:19:19.111045
Campus4Tech,Are You A Maintenance Technician Looking To Transition Your Career To Become Data Analyst,Canada,5 days ago,Remote,Full-time,Associate,2024-11-04 14:19:19.111048
TELUS Digital,Online Data Analyst,"Rouyn-Noranda, QC",2 weeks ago,Remote,,Entry Level,2024-10-26 14:19:19.111051
Sobeys,"Analyst Business Intelligence, Contract","Stellarton, NS",4 days ago,Hybrid,,Entry Level,2024-11-05 14:19:19.111055
Outlier,AI Math Analyst,"Vaughan, ON",2 weeks ago,Remote,Full-time,,2024-10-26 14:19:19.111058
Campus4Tech,Are You A Quality Control Inspector Looking To Transition Your Career To Become Data Analyst,Canada,3 days ago,Remote,Full-time,Associate,2024-11-06 14:19:19.111062
eSentire,Threat Intelligence Analyst,"Waterloo, ON",5 days ago,Hybrid,Full-time,Mid-Senior Level,2024-11-04 14:19:19.111065
CAE,C-IT-105 Data Analyst,"Montreal, Quebec, Canada",Reposted 6 days ago,,Full-time,Mid-Senior Level,2024-11-03 14:19:19.111068
TELUS Digital AI Data Solutions,Online Data Analyst,"Ottawa, ON",1 week ago,Remote,Part-time,Entry Level,2024-11-02 14:19:19.111072
Sunnybrook,Data Analyst (DAD/NACRS Coder) - Decision Support - Temporary Full-Time 2024-7887 (2024-7887),"Toronto, ON",4 months ago,On-site,Full-time,Entry Level,2024-07-12 14:19:19.111076
Warman O'Brien,Principal biostatistician,"Ontario, Canada",2 weeks ago,Hybrid,Full-time,,2024-10-26 14:19:19.111079
Pratt & Whitney Canada,Stage-Hiver-Analyste de données / Internship-Winter-Data Analyst,"Longueuil, QC",Reposted 6 days ago,On-site,Full-time,Mid-Senior Level,2024-11-03 14:19:19.111083
Sobeys,"Analyst Business Intelligence, Contract","Calgary, AB",4 days ago,Hybrid,,Entry Level,2024-11-05 14:19:19.111086
ResMed,Data Science Analyst (m/w/d),"Saint-Augustin-de-Woburn, QC",3 days ago,,Full-time,,2024-11-06 14:19:19.111089
Picton Mahoney Asset Management,"Analyst, Sales Intelligence","Toronto, ON",5 days ago,Hybrid,Full-time,Mid-Senior Level,2024-11-04 14:19:19.111093
Capital One,"Senior Associate, Data Analyst","Toronto, ON",Reposted 1 week ago,,Full-time,Associate,2024-11-02 14:19:19.111096
VTRAC Consulting Corporation (WBE),"Senior Actuary ( SAS, SQL, and Excel)",Greater Kitchener-Cambridge-Waterloo Metropolitan Area,2 weeks ago,Hybrid,Full-time,Mid-Senior Level,2024-10-26 14:19:19.111100
Zendesk,"Senior Analyst, Enterprise Analytics","Toronto, ON",Reposted 2 weeks ago,Remote,Full-time,Mid-Senior Level,2024-10-26 14:19:19.111104
Ascendion,Business Data Analyst,Canada,2 weeks ago,Remote,Full-time,,2024-10-26 14:19:19.111108
Scotiabank - Global Banking and Markets,Database Analyst Advisory,"Scarborough, ON",6 days ago,Hybrid,Full-time,Entry Level,2024-11-03 14:19:19.111112
Ottawa Sports and Entertainment Group (OSEG),"Intern, Business Intelligence Analyst","Ottawa, ON",1 week ago,On-site,,,2024-11-02 14:19:19.111115
CareRx Corporation,Power BI Specialist,"Toronto, ON",1 month ago,Hybrid,Full-time,Mid-Senior Level,2024-10-10 14:19:19.111120
Outlier,AI Math Analyst,"Caledon, ON",2 weeks ago,Remote,Full-time,Mid-Senior Level,2024-10-26 14:19:19.111124
WorkJam,BI Data Analyst Intern | Stagiaire en analyse de données BI,"Montreal, QC",1 week ago,Hybrid,,,2024-11-02 14:19:19.111128
LCBO,Sr. Process Analyst (Master Data / Data Migration Specialist) - 12 Months Contract,"Toronto, ON",1 week ago,Hybrid,Full-time,Mid-Senior Level,2024-11-02 14:19:19.111132
Outlier,Work from Home - AI Math Analyst,"Clarington, ON",3 days ago,Remote,Full-time,,2024-11-06 14:19:19.111136
Desjardins,"Analyst, Data valorization- EN","Montreal, QC",16 hours ago,Hybrid,Full-time,Mid-Senior Level,2024-11-08 22:19:19.111140
TextNow,"Staff Data Analyst, Core Experience","Toronto, ON",Reposted 2 weeks ago,Remote,Full-time,Mid-Senior Level,2024-10-26 14:19:19.111145
HireKeyz Inc,"Data Analyst (Capital Markets, SQL, Python)","Mississauga, ON",1 week ago,On-site,,Associate,2024-11-02 14:19:19.111149
Metrolinx,Senior Business Intelligence Performance Analyst,"Greater Toronto Area, Canada",1 week ago,Hybrid,Full-time,Mid-Senior Level,2024-11-02 14:19:19.111154
LGM Financial Services,Junior Data Analyst Pricing,"Vancouver, BC",1 week ago,On-site,Full-time,Entry Level,2024-11-02 14:19:19.111161
TELUS Digital,Online Data Analyst,"Saint-Eustache, QC",2 weeks ago,Remote,,Entry Level,2024-10-26 14:19:19.111166
Clarivate,Senior Healthcare Research & Data Analyst- Market Expert,"Toronto, ON",Reposted 3 days ago,Hybrid,Full-time,Mid-Senior Level,2024-11-06 14:19:19.111170
"J.D. Irving, Limited",Sales & Marketing Data Analyst,"Dieppe, NB",1 week ago,,Full-time,Entry Level,2024-11-02 14:19:19.111180
TELUS Digital,Online Data Analyst,"Terrebonne, QC",2 weeks ago,Remote,,Entry Level,2024-10-26 14:19:19.111186
RSM Canada,Business Intelligence Consulting Intern - Summer 2025,"Edmonton, AB",Reposted 2 weeks ago,Hybrid,Full-time,,2024-10-26 14:19:19.111191
CIBC,"Associate, Quantitative Rotational Program (QRP)","Toronto, ON",1 week ago,,Full-time,Mid-Senior Level,2024-11-02 14:19:19.111195
Outlier,AI Math Analyst,"Richmond Hill, ON",3 days ago,Remote,Full-time,Mid-Senior Level,2024-11-06 14:19:19.111199
Outlier,AI Math Analyst,"Clarington, ON",3 days ago,Remote,Full-time,Mid-Senior Level,2024-11-06 14:19:19.111203
Flexiti,Senior Data Analyst,"Toronto, ON",1 week ago,,Full-time,Mid-Senior Level,2024-11-02 14:19:19.111207
TELUS Digital,Online Data Analyst,"Victoriaville, QC",2 weeks ago,Remote,,Entry Level,2024-10-26 14:19:19.111211
Ontario Health | Santé Ontario,"Lead Business Analyst, Data Governance","Toronto, ON",5 days ago,Hybrid,Full-time,Mid-Senior Level,2024-11-04 14:19:19.111215
BDC,DATA ANALYST,"Montreal, QC",1 week ago,Hybrid,Full-time,Mid-Senior Level,2024-11-02 14:19:19.111219
Bombardier,"Analyst, Data & Business Intelligence","Dorval, QC",Reposted 2 weeks ago,On-site,Full-time,Mid-Senior Level,2024-10-26 14:19:19.111224
AMD,"Data Analyst Intern/Co-Op (Undergrad | Summer, 2025 | Onsite/Hybrid)","Oro-Medonte, Ontario, Canada",1 month ago,On-site,Full-time,,2024-10-10 14:19:19.111228
Diverse Lynx,Data Governance Analyst,"London, ON",1 month ago,On-site,,Entry Level,2024-10-10 14:19:19.111233
Outlier,AI Math Analyst,"Aurora, ON",2 weeks ago,Remote,Full-time,Mid-Senior Level,2024-10-26 14:19:19.111237
Outlier,AI Math Analyst,"Niagara Falls, ON",3 days ago,Remote,Full-time,Mid-Senior Level,2024-11-06 14:19:19.111241
Outlier,AI Math Analyst,"Norfolk County, ON",3 days ago,Remote,Full-time,,2024-11-06 14:19:19.111245
TELUS Digital,Online Data Analyst,"St-Hyacinthe, QC",2 weeks ago,Remote,,Entry Level,2024-10-26 14:19:19.111248
HireKeyz Inc,Dataiku Data Analyst,"Mississauga, ON",2 weeks ago,On-site,,Associate,2024-10-26 14:19:19.111253
theScore,"Data Analyst, Enterprise","Toronto, ON",3 weeks ago,Hybrid,Full-time,Mid-Senior Level,2024-10-19 14:19:19.111257
TELUS Digital,Online Data Analyst,"Thérèse-De Blainville Regional County Municipality, QC",1 week ago,Remote,,Entry Level,2024-11-02 14:19:19.111261
TELUS Digital AI Data Solutions,Online Data Analyst,"Québec, QC",3 weeks ago,Remote,Part-time,Entry Level,2024-10-19 14:19:19.111265
TELUS Digital,Online Data Analyst,"Laprairie, QC",2 weeks ago,Remote,,Entry Level,2024-10-26 14:19:19.111270
TELUS Digital AI Data Solutions,Online Data Analyst,"Quebec, Canada",3 weeks ago,Remote,Part-time,Entry Level,2024-10-19 14:19:19.111274
TELUS Digital AI Data Solutions,Online Data Analyst,"Blainville, QC",3 weeks ago,Remote,Part-time,Entry Level,2024-10-19 14:19:19.111278
Haventree Bank,Business Data Analyst,"Toronto, ON",22 hours ago,Hybrid,Full-time,Associate,2024-11-08 16:19:19.111282
"Varsity Tutors, a Nerdy Company",Remote Data Analysis Tutor,"Ontario, Canada",Reposted 5 days ago,Remote,Full-time,Entry Level,2024-11-04 14:19:19.111287
Warman O'Brien,Principal Biostatistician,Canada,1 day ago,Remote,Full-time,Mid-Senior Level,2024-11-08 14:19:19.111291
BMO,"Senior Data Analyst, Analytics and Visualization","Toronto, ON",17 hours ago,,Full-time,Mid-Senior Level,2024-11-08 21:19:19.111295
Peroptyx,Data Analyst - Search (0 Experience Required),Canada,4 hours ago,Remote,,Entry Level,2024-11-09 10:19:19.111300
Microsoft,Principal Data Scientist,"Vancouver, BC",1 week ago,On-site,Full-time,Mid-Senior Level,2024-11-02 14:19:19.111304
TELUS Digital AI Data Solutions,Online Data Analyst,Greater Quebec City Metropolitan Area,2 weeks ago,Remote,Part-time,Entry Level,2024-10-26 14:19:19.111308
Concentrix,Senior Analyst Global Analytic Insights (Hybrid),"Chatham, ON",Reposted 1 week ago,Hybrid,Full-time,Mid-Senior Level,2024-11-02 14:19:19.111340
Hootsuite,Strategic Customer Insights Analyst,"Vancouver, BC",1 week ago,Hybrid,Full-time,,2024-11-02 14:19:19.111344
TELUS Digital,Online Data Analyst,"Beloeil, QC",2 weeks ago,Remote,,Entry Level,2024-10-26 14:19:19.111349
Affirm,"Analyst I, Growth Analytics","Edmonton, AB",Reposted 2 weeks ago,Remote,Full-time,Associate,2024-10-26 14:19:19.111354
Outlier,AI Math Analyst,"Kawartha Lakes, ON",3 days ago,Remote,Full-time,Mid-Senior Level,2024-11-06 14:19:19.111358
Longbow Advantage,Business Intelligence Analyst,"Ontario, Canada",3 weeks ago,On-site,Full-time,Entry Level,2024-10-19 14:19:19.111362
Longbow Advantage,Business Intelligence Analyst,"Mississauga, ON",4 months ago,On-site,Full-time,Entry Level,2024-07-12 14:19:19.111366
Soucy,BI (Business Intelligence) analyst,"Drummondville, QC",3 weeks ago,Hybrid,Full-time,Entry Level,2024-10-19 14:19:19.111370
Alludo,BI Analyst,"Toronto, ON",Reposted 1 week ago,Remote,Full-time,Associate,2024-11-02 14:19:19.111374
Diverse Lynx,Data/Business Analyst,"Toronto, ON",4 months ago,On-site,,Entry Level,2024-07-12 14:19:19.111378
Hillsdale Investment Management Inc.,Quantitative Analyst,"Greater Toronto Area, Canada",4 weeks ago,Hybrid,Full-time,Associate,2024-10-12 14:19:19.111382
Mistplay,"Analyste de données séniore I, produit et expérimentation // Senior Data Analyst I, Product & Experimentation","Montreal, QC",Reposted 2 weeks ago,Hybrid,Full-time,Mid-Senior Level,2024-10-26 14:19:19.111386
Hunter Bond,Graduate Python Engineer (Quant Fund) – up to $150k + Bonus – Montreal (Hybrid),Greater Montreal Metropolitan Area,3 days ago,Hybrid,Full-time,Associate,2024-11-06 14:19:19.111390
Wirehead,Senior Business Intelligence Consultant,"Toronto, ON",1 hour ago,Hybrid,,Mid-Senior Level,2024-11-09 13:19:19.111394
"Varsity Tutors, a Nerdy Company",Remote Data Analysis Tutor,"Toronto, ON",Reposted 5 days ago,Remote,Full-time,Entry Level,2024-11-04 14:19:19.111398
AstraZeneca,Senior Statistician,"Mississauga, ON",20 hours ago,,Full-time,Associate,2024-11-08 18:19:19.111402
TELUS Digital,Online Data Analyst,"Sorel-Tracy, QC",2 weeks ago,Remote,,Entry Level,2024-10-26 14:19:19.111406
TELUS Digital AI Data Solutions,Online Data Analyst,"Lanaudière, QC",2 weeks ago,Remote,Part-time,Entry Level,2024-10-26 14:19:19.111410
City of Toronto,SENIOR INFORMATION ANALYST,"Toronto, ON",2 weeks ago,On-site,Full-time,Mid-Senior Level,2024-10-26 14:19:19.111415
Affirm,"Analyst I, Growth Analytics","Winnipeg, MB",Reposted 2 weeks ago,Remote,Full-time,Associate,2024-10-26 14:19:19.111419
Lightci (Light Consulting),Senior Data Analyst (Hybrid),"Toronto, ON",3 days ago,Hybrid,Full-time,Associate,2024-11-06 14:19:19.111424
TELUS Digital,Online Data Analyst,"Brossard, QC",2 weeks ago,Remote,,,2024-10-26 14:19:19.111428
AGF Investments,Intermediate Operations Data Support Analyst (24 month contract),"Toronto, ON",6 days ago,On-site,,Entry Level,2024-11-03 14:19:19.111432
TELUS Digital,Online Data Analyst,"Magog, QC",2 weeks ago,Remote,,Entry Level,2024-10-26 14:19:19.111437
"Varsity Tutors, a Nerdy Company",Remote Econometrics Tutor,"Sherbrooke, QC",Reposted 5 days ago,Remote,Full-time,Entry Level,2024-11-04 14:19:19.111441
Affirm,"Analyst II, Forecasting Analytics","Toronto, ON",1 week ago,Remote,Full-time,Associate,2024-11-02 14:19:19.111446
St. Michael's Hospital,"Business Informatics, Analytics & Operations Consultant II","Toronto, ON",19 hours ago,On-site,Full-time,,2024-11-08 19:19:19.111451
Outhire Inc.,"Senior Analyst, Business Intelligence","Toronto, ON",3 days ago,Hybrid,Full-time,Mid-Senior Level,2024-11-06 14:19:19.111456
Suncor,Masters Data Science Student - January 2025,"Calgary, AB",Reposted 2 weeks ago,On-site,Full-time,,2024-10-26 14:19:19.111459
Defence Construction Canada,Information Management Analyst,"Ottawa, ON",1 week ago,,Full-time,Mid-Senior Level,2024-11-02 14:19:19.111464
Oak Valley Health,Health Information Management HIM Data Quality Analyst - Full Time - Markham Site,"Markham, ON",2 weeks ago,On-site,Full-time,Entry Level,2024-10-26 14:19:19.111469
Ascendion,Power BI Business Data Analyst,Canada,2 weeks ago,Remote,Full-time,,2024-10-26 14:19:19.111473
Outlier,AI Math Analyst,"Ajax, ON",2 weeks ago,Remote,Full-time,Mid-Senior Level,2024-10-26 14:19:19.111478
TELUS Digital AI Data Solutions,Online Data Analyst,"Les Laurentides Regional County Municipality, QC",2 weeks ago,Remote,Part-time,Entry Level,2024-10-26 14:19:19.111482
BMO,Senior Campaign Data Analyst,"Toronto, ON",Reposted 2 weeks ago,,Full-time,Mid-Senior Level,2024-10-26 14:19:19.111486
Practice Better,"Senior Analyst, Data & BI",Canada,1 week ago,Remote,Full-time,Mid-Senior Level,2024-11-02 14:19:19.111495
Sony Interactive Entertainment,Senior Game Data Analyst,Canada,Reposted 6 days ago,Remote,Full-time,Mid-Senior Level,2024-11-03 14:19:19.111500
Gateway Casinos and Entertainment Limited,Data Analyst,"Burnaby, BC",1 month ago,On-site,Full-time,Entry Level,2024-10-10 14:19:19.111506
KYYBA Inc,Reporting and innovation data analyst,"Montreal, QC",1 week ago,On-site,,,2024-11-02 14:19:19.111511
Scotiabank,Senior Analyst Financial Analytics & Business Intelligence- International Banking Finance (6 month),"Toronto, ON",1 week ago,On-site,,Mid-Senior Level,2024-11-02 14:19:19.111515
Fraser Health Authority,Data Analyst,"Surrey, BC",6 days ago,On-site,Full-time,,2024-11-03 14:19:19.111519
Klick,"Senior Analyst, Marketing Analytics","Toronto, ON",Reposted 3 days ago,Hybrid,Full-time,Mid-Senior Level,2024-11-06 14:19:19.111523
"Connor, Clark & Lunn Financial Group (CC&L)","Data Analyst, Investment Data Management","Vancouver, BC",Reposted 6 days ago,Hybrid,Full-time,Entry Level,2024-11-03 14:19:19.111527
Robert Half,Business Intelligence (BI) Analyst,"Edmonton, AB",5 days ago,On-site,Full-time,Mid-Senior Level,2024-11-04 14:19:19.111530
TELUS Digital AI Data Solutions,Online Data Analyst,"Nunavut, Canada",2 weeks ago,Remote,Part-time,Entry Level,2024-10-26 14:19:19.111534
BNP Paribas,Analyst – IT Data & control analyst,"Montreal, QC",1 week ago,Hybrid,Full-time,Mid-Senior Level,2024-11-02 14:19:19.111537
CIBC,"Sr. Analyst, Advanced Analytics","Toronto, ON",Reposted 4 days ago,,Full-time,Mid-Senior Level,2024-11-05 14:19:19.111541
Tata Consultancy Services,"Axion Consultant-SQL, Power BI, PL/SQL, SSIS","Toronto, ON",1 week ago,On-site,Full-time,Mid-Senior Level,2024-11-02 14:19:19.111545
Bank of Canada,"Business Analyst, HR Systems Support","Ottawa, Ontario, Canada",5 days ago,Hybrid,Full-time,Entry Level,2024-11-04 14:19:19.111549
Owner.com,"Data Analyst, Product",Canada,13 hours ago,Remote,Full-time,Mid-Senior Level,2024-11-09 01:19:19.111552
International Air Transport Association (IATA),"Intern, Market & Consumer Insights","Montreal, QC",Reposted 6 hours ago,Hybrid,Full-time,,2024-11-09 08:19:19.111556
RBC,"Senior Analyst, IAM Access Request Reporting & Analysis (GCS)","Toronto, ON",19 hours ago,Hybrid,Full-time,Mid-Senior Level,2024-11-08 19:19:19.111560
WSP in Canada,"HR Analyst, Reporting & Analytics","Alberta, Canada",Reposted 4 days ago,Hybrid,,,2024-11-05 14:19:19.111564
Lundbeck,Business Insights Analyst,"Montreal, QC",Reposted 2 weeks ago,,Full-time,Associate,2024-10-26 14:19:19.111568
NumerixS Technologies (NumerixS Quant),Quantitative Analyst (PhD Required),"Vancouver, BC",1 month ago,On-site,Full-time,Mid-Senior Level,2024-10-10 14:19:19.111584
Outlier,AI Math Analyst,"Oakville, ON",2 weeks ago,Remote,Full-time,Mid-Senior Level,2024-10-26 14:19:19.111596
SPECTRAFORCE,Reporting and Innovation Data Analyst,"Montreal, QC",1 week ago,On-site,Full-time,Entry Level,2024-11-02 14:19:19.111601
TELUS Digital AI Data Solutions,Online Data Analyst,"Québec, QC",1 week ago,Remote,Part-time,Entry Level,2024-11-02 14:19:19.111607
hims & hers,"Lead Data Analyst, Product","Vancouver, BC",Reposted 2 weeks ago,Remote,Full-time,Mid-Senior Level,2024-10-26 14:19:19.111612
Pratt & Whitney Canada,Stage-Hiver-Analyse de la base de données des matériaux et collecte d'informations / Internship -Winter-Materials database analysis and data collection,"Longueuil, QC",Reposted 5 days ago,On-site,Full-time,,2024-11-04 14:19:19.111618
"Global Technical Talent, an Inc. 5000 Company",Senior Business Intelligence Specialist,"Toronto, ON",3 days ago,Hybrid,,Entry Level,2024-11-06 14:19:19.111623
TELUS Digital,Online Data Analyst,"Quebec City metropolitan community, QC",1 week ago,Remote,,Entry Level,2024-11-02 14:19:19.111631
Lyft,Data Analyst - Strategic Planning and P&L Management,"Toronto, ON",1 week ago,,Full-time,Mid-Senior Level,2024-11-02 14:19:19.111658
"Varsity Tutors, a Nerdy Company",Remote Data Analysis Tutor,"Kitchener, ON",Reposted 5 days ago,Remote,Full-time,Entry Level,2024-11-04 14:19:19.111665
TELUS Digital,Online Data Analyst,"Vaudreuil-Soulanges Regional County Municipality, QC",1 week ago,Remote,,Entry Level,2024-11-02 14:19:19.111672
Precision Medicine Group,Senior Biostatistician,Canada,1 week ago,Remote,Full-time,Mid-Senior Level,2024-11-02 14:19:19.111680
AstraZeneca,Senior Statistician I/II,"Mississauga, ON",3 days ago,,Full-time,Associate,2024-11-06 14:19:19.111688
City of Greater Sudbury,Business Intelligence Analyst,"Greater Sudbury, ON",21 hours ago,Remote,Full-time,Mid-Senior Level,2024-11-08 17:19:19.111696
People Corporation,Benefits Analyst/Business Intelligence Analyst,"Vancouver, BC",5 hours ago,On-site,Full-time,Entry Level,2024-11-09 09:19:19.111703
Sun Life,Senior Data Analyst,"Toronto, ON",Reposted 2 days ago,,Full-time,Mid-Senior Level,2024-11-07 14:19:19.111710
Zendesk,"Senior Analyst, Enterprise Analytics","Toronto, ON",Reposted 2 weeks ago,Remote,Full-time,Mid-Senior Level,2024-10-26 14:19:19.111727
Affirm,"Analyst II, Forecasting Analytics","Windsor, ON",Reposted 1 week ago,Remote,Full-time,Associate,2024-11-02 14:19:19.111744
Affirm,"Analyst II, Forecasting Analytics","Kitchener, ON",Reposted 1 week ago,Remote,Full-time,Associate,2024-11-02 14:19:19.111755
TELUS Digital AI Data Solutions,Online Data Analyst,"Newfoundland and Labrador, Canada",2 weeks ago,Remote,Part-time,Entry Level,2024-10-26 14:19:19.111763
University of Notre Dame,Postdoctoral Research Fellow Position: Health Equity Data Lab,"Notre Dame, NB",Reposted 1 week ago,On-site,Full-time,Mid-Senior Level,2024-11-02 14:19:19.111772
AXIS (AXIS Capital),Data Governance Analyst,"Halifax, NS",Reposted 5 days ago,Hybrid,Full-time,Mid-Senior Level,2024-11-04 14:19:19.111781
Affirm,"Analyst I, Growth Analytics","Regina, SK",Reposted 2 weeks ago,Remote,Full-time,Associate,2024-10-26 14:19:19.111789
Geotab,Senior Data Analyst,"Oakville, ON",Reposted 2 weeks ago,Hybrid,Full-time,Mid-Senior Level,2024-10-26 14:19:19.111799
National Bank of Canada,Chief Data Analyst,"Toronto, ON",20 hours ago,On-site,Full-time,Mid-Senior Level,2024-11-08 18:19:19.111813
Affirm,"Analyst II, Forecasting Analytics","Oshawa, ON",Reposted 1 week ago,Remote,Full-time,Associate,2024-11-02 14:19:19.111820
Outlier,AI Math Analyst,"Burlington, ON",2 weeks ago,Remote,Full-time,Mid-Senior Level,2024-10-26 14:19:19.111827
Scotiabank - Global Banking and Markets,"Specialist, Data Analytics Engineering - Business Intelligence Data Analytics (Hybrid)","Scarborough, ON",1 month ago,Hybrid,Full-time,Mid-Senior Level,2024-10-10 14:19:19.111841
Outlier,AI Math Analyst,"Belleville, ON",2 weeks ago,Remote,Full-time,Mid-Senior Level,2024-10-26 14:19:19.111856
CGI,Salesforce Data Analyst,"Victoria, BC",Reposted 6 hours ago,,Full-time,Entry Level,2024-11-09 08:19:19.111865
Cooke Inc. ,Business Intelligence Analyst,"Saint John, NB",2 months ago,On-site,Full-time,Entry Level,2024-09-10 14:19:19.111873
Agilus Work Solutions,Asset Integrity Data Analyst - PCMS,Canada,2 hours ago,Remote,,,2024-11-09 12:19:19.111880
