Company,Job Title,Location,Post Date,Workplace Type,Job Type,Position Type,Post Date Cleaned
SCHOOL BOARDS' CO-OPERATIVE INC.,Bilingual Data Assistant/ Analyst,"Markham, ON",4 days ago,Hybrid,Full-time,Associate,2024-11-05 14:19:19.110139
Affirm,"Analyst I, Growth Analytics","Toronto, ON",1 week ago,Remote,Full-time,Associate,2024-11-02 14:19:19.110142
ICUC,Insights Analyst,"Toronto, ON",Reposted 2 weeks ago,Remote,Full-time,Mid-Senior Level,2024-10-26 14:19:19.110146
Astek,Data Analyst,"Toronto, ON",1 week ago,Hybrid,,Associate,2024-11-02 14:19:19.110150
"NFP, an Aon company (Canada)",Data Conversion Analyst - Remote,"Collingwood, ON",Reposted 5 days ago,Remote,Full-time,Mid-Senior Level,2024-11-04 14:19:19.110154
Visa,"Visa Consulting Analytics (VCA) Analyst, New College Grad – 2025","Toronto, ON",2 weeks ago,,Full-time,Mid-Senior Level,2024-10-26 14:19:19.110157
TD,Business Insights Analyst,"Toronto, ON",3 weeks ago,Hybrid,Full-time,Entry Level,2024-10-19 14:19:19.110161
Neighbourly Pharmacy,Data Process Analyst,"Toronto, ON",Reposted 1 month ago,Remote,Full-time,Entry Level,2024-10-10 14:19:19.110165
WSP in Canada,"HR Analyst, Reporting & Analytics","Ontario, Canada",Reposted 3 days ago,Hybrid,,,2024-11-06 14:19:19.110169
Loblaw Companies Limited,"Senior Analyst, Analytics & Customer Insights (1 Year Contract)","Brampton, ON",2 weeks ago,,Full-time,Mid-Senior Level,2024-10-26 14:19:19.110172
TELUS Digital,Online Data Analyst,"Greenstone, ON",1 week ago,Remote,,Entry Level,2024-11-02 14:19:19.110176
TELUS Digital,Online Data Analyst,"Cornwall, ON",1 week ago,Remote,,Entry Level,2024-11-02 14:19:19.110180
Affirm,"Analyst I, Growth Analytics","Hamilton, ON",Reposted 2 weeks ago,Remote,Full-time,Associate,2024-10-26 14:19:19.110183
Affirm,"Analyst I, Growth Analytics","Oshawa, ON",Reposted 2 weeks ago,Remote,Full-time,Associate,2024-10-26 14:19:19.110191
TELUS Digital,Online Data Analyst,"Ottawa, ON",1 week ago,Remote,,Entry Level,2024-11-02 14:19:19.110195
Cineplex,Data Insights Analyst,"Toronto, ON",Reposted 2 months ago,Hybrid,Full-time,,2024-09-10 14:19:19.110201
